Timestamp,In_Temp,Out_Temp,In_Press,In_Press_BME,Out_Press,Out_Press_BME,In_Hum,Out_Hum,Pump_Temp,SB_Temp,Gps_X,Gps_Y,Gps_altitude,O3_1_ref,O3_1_voltage,O3_2_ref,O3_2_voltage,CO2_1_ref,CO2_2_voltage,CO2_2_ref,CO2_2_voltage,Data_acq,cycle_id,cycle_duration,stage1_duration,stage2_duration,stage3_duration,stage1_start,stage2_start,stage3_start,valve_1,valve_2,heater_1,heater_2,pump,stage_1,stage_2,stage_3
1631578707305,25.114,25.326,1006.5,101212.25,1002.5,101189.63,29.87,29.89,26.53,26.03,40.628,22.96,20.8,0.6019956490210298,0.601871646120377,0.28355620014503263,0.6019956490210298,2.7180037463976947,2.629319596541787,2.673164841498559,2.7180037463976947,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578708534,25.109,25.331,1006.5,101222.29,1001.1,101193.19,29.87,29.89,26.37,26.15,40.628,22.96,20.9,0.6023676577229876,0.6014996374184192,0.2843002175489485,0.6023676577229876,2.6552789625360234,2.5843564841498563,2.639256195965418,2.6552789625360234,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578709757,25.119,25.326,1006.5,101218.54,1000.5,101192.36,29.86,29.88,26.35,26.23,40.628,22.96,21.0,0.6021196519216824,0.601871646120377,0.28306018854242204,0.6021196519216824,2.56324121037464,2.53281037463977,2.5729293948126806,2.56324121037464,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578710983,25.119,25.321,1007.1,101218.54,1001.9,101188.79,29.85,29.9,26.29,25.97,40.628,22.96,21.3,0.601871646120377,0.601871646120377,0.2843002175489485,0.601871646120377,2.4570438040345826,2.480767435158502,2.4941818443804036,2.4570438040345826,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578712205,25.119,25.31,1006.3,101213.10,1001.1,101192.57,29.87,29.9,26.37,26.23,40.628,22.96,21.4,0.6023676577229876,0.6017476432197244,0.28392820884699055,0.6023676577229876,2.396803170028819,2.458534293948127,2.442263112391931,2.396803170028819,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578713431,25.119,25.316,1007.6,101218.54,1001.0,101185.22,29.86,29.91,26.47,26.09,40.628,22.96,21.7,0.601871646120377,0.6017476432197244,0.2841762146482959,0.601871646120377,2.393325360230548,2.4753023054755046,2.430214985590778,2.393325360230548,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578714666,25.109,25.316,1006.0,101219.57,999.7,101182.49,29.87,29.91,26.27,26.17,40.628,22.96,21.8,0.6024916606236403,0.6016236403190718,0.2840522117476432,0.6024916606236403,2.4344380403458215,2.504118443804035,2.45306916426513,2.4344380403458215,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578715894,25.109,25.321,1005.7,101216.85,1000.8,101191.52,29.86,29.91,26.31,26.23,40.628,22.96,22.2,0.6019956490210298,0.6017476432197244,0.2852922407541697,0.6019956490210298,2.536660806916427,2.5615023054755044,2.527842074927954,2.536660806916427,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578717114,25.119,25.331,1006.3,101223.99,1001.1,101190.47,29.88,29.91,26.29,26.21,40.628,22.96,22.7,0.6024916606236403,0.6021196519216824,0.28492023205221173,0.6024916606236403,2.6282017291066286,2.608452737752162,2.5955351585014412,2.6282017291066286,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578718355,25.114,25.326,1006.8,101212.25,1002.2,101189.63,29.89,29.91,26.29,26.21,40.628,22.96,23.5,0.6024916606236403,0.6016236403190718,0.28293618564176937,0.6024916606236403,2.662234582132565,2.62385446685879,2.621370317002882,2.662234582132565,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578719580,25.114,25.321,1006.5,101212.25,1001.6,101183.33,29.89,29.92,26.21,26.15,40.628,22.96,24.0,0.6021196519216824,0.6017476432197244,0.28492023205221173,0.6021196519216824,2.7168858789625365,2.6408708933717584,2.666085014409222,2.7168858789625365,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578720807,25.109,25.326,1005.7,101216.85,1002.5,101184.17,29.89,29.9,26.55,26.23,40.628,22.96,24.5,0.601871646120377,0.6017476432197244,0.2840522117476432,0.601871646120377,2.7079429394812684,2.618761959654179,2.670556484149856,2.7079429394812684,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578722035,25.119,25.331,1005.7,101213.10,999.7,101187.74,29.9,29.92,26.49,26.17,40.628,22.96,24.4,0.601871646120377,0.6013756345177664,0.2850442349528644,0.601871646120377,2.664346109510087,2.5895731988472623,2.664718731988473,2.664346109510087,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578723282,25.109,25.341,1006.0,101214.13,1000.8,101189.41,29.9,29.91,26.31,26.05,40.628,22.96,24.4,0.601871646120377,0.6017476432197244,0.2843002175489485,0.601871646120377,2.6253449567723344,2.5674642651296833,2.6162778097982713,2.6253449567723344,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
